url,公告类型,公告子类型,公告标题,公告内容,项目编号,产品,招标预算金额（元）,招标公司,招标公司类型,招标联系人,招标代理机构,代理机构联系人,中标公司,中标联系人,中标金额（元）,发布时间,省份,城市,招标状态,标书获取截止日期,投标截止日期,链接,公司地址,招标数量,招标总金额,供应商数量
浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,中标,中标结果,浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,,HSZB-2022-297,"虚拟仿真平台及应用模块建设项目,虚拟仿真实验教学平台及课程建设项目,犯罪现场勘查虚拟仿真实训项目,犯罪嫌疑人特征刻画虚拟仿真实训项目",0.0,浙江警察学院,学校,杨**-0571-87787281,浙江豪圣建设项目管理有限公司,曹**-0571-87981527,济南英泰安视信息技术有限公司 ,"中标人     18563703538 ,中标人     15614660631 ,辛**     18678390686 ,李**     13964088197 ,王**     15553124503 ",0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,2022-09-15,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/361025353/b2,地址济南市历城区山大南路东首（15-7号）华森职工住宅楼2单元201室,127 次,1.01 亿,51 家
浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,中标,中标结果,浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,,HSZB-2022-297,"虚拟仿真平台及应用模块建设项目,虚拟仿真实验教学平台及课程建设项目,犯罪现场勘查虚拟仿真实训项目,犯罪嫌疑人特征刻画虚拟仿真实训项目",0.0,浙江警察学院,学校,杨**-0571-87787281,浙江豪圣建设项目管理有限公司,曹**-0571-87981527,山东世和润安信息技术有限公司 ,"中标人     18668973938 ,中标人     18354196838 ,王*     13884668605 ,陈*     13606415159 ,石**     18505411766 ",0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,2022-09-15,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/361025353/b2,地址山东省济南市槐荫区齐州路绿地缤纷城2楼213室,105 次,"6,084.02 万",44 家
浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,中标,中标结果,浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,,HSZB-2022-297,"虚拟仿真平台及应用模块建设项目,虚拟仿真实验教学平台及课程建设项目,犯罪现场勘查虚拟仿真实训项目,犯罪嫌疑人特征刻画虚拟仿真实训项目",0.0,浙江警察学院,学校,杨**-0571-87787281,浙江豪圣建设项目管理有限公司,曹**-0571-87981527,南京浩伟智能科技有限公司 ,"中标人     025-86111066 ,林**     18994117789 ,钱*     13327818981 ",0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,2022-09-15,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/361025353/b2,地址南京市麒麟科技创新园（生态科技城）东麒路666号,37 次,"3,649.41 万",16 家
浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,中标,中标结果,浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,,HSZB-2022-297,"虚拟仿真平台及应用模块建设项目,虚拟仿真实验教学平台及课程建设项目,犯罪现场勘查虚拟仿真实训项目,犯罪嫌疑人特征刻画虚拟仿真实训项目",0.0,浙江警察学院,学校,杨**-0571-87787281,浙江豪圣建设项目管理有限公司,曹**-0571-87981527,浙江安正科技股份有限公司 ,"中标人     0571-87245751 ,中标人     18868876969 ,刘**     13466636998 ",0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,2022-09-15,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/361025353/b2,地址浙江省杭州市上城区婺江路217号2号楼8层823室,59 次,"4,578.91 万",33 家
浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,中标,中标结果,浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,,HSZB-2022-297,"虚拟仿真平台及应用模块建设项目,虚拟仿真实验教学平台及课程建设项目,犯罪现场勘查虚拟仿真实训项目,犯罪嫌疑人特征刻画虚拟仿真实训项目",0.0,浙江警察学院,学校,杨**-0571-87787281,浙江豪圣建设项目管理有限公司,曹**-0571-87981527,江苏一鼎堂软件科技有限公司 ,"中标人     18072883089 ,中标人     18667122369 ,闵**     13506763566 ,闵**     025-52171471 ,林**     13282199206 ",0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,2022-09-15,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/361025353/b2,地址南京市建邺区茶亭东街79号2-1-22，2-1-23,106 次,"3,367.78 万",52 家
浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,中标,中标结果,浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,,HSZB-2022-297,"虚拟仿真平台及应用模块建设项目,虚拟仿真实验教学平台及课程建设项目,犯罪现场勘查虚拟仿真实训项目,犯罪嫌疑人特征刻画虚拟仿真实训项目",0.0,浙江警察学院,学校,杨**-0571-87787281,浙江豪圣建设项目管理有限公司,曹**-0571-87981527,嘉兴元齐软件科技有限公司 ,"中标人     13867394636 ,中标人     15068350260 ,中标人     0573-82617159 ,吴**     0573-82685080 ",0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,2022-09-15,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/361025353/b2,地址浙江省嘉兴市经济技术开发区金穗路135号1幢801-2室,29 次,624.38 万,16 家
浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,中标,中标结果,浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,,HSZB-2022-297,"虚拟仿真平台及应用模块建设项目,虚拟仿真实验教学平台及课程建设项目,犯罪现场勘查虚拟仿真实训项目,犯罪嫌疑人特征刻画虚拟仿真实训项目",0.0,浙江警察学院,学校,杨**-0571-87787281,浙江豪圣建设项目管理有限公司,曹**-0571-87981527,浙江通鹏智能科技有限公司 ,"中标人     13858024256 ,中标人     18957159182 ,中标人     0571-89712590 ",0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,2022-09-15,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/361025353/b2,地址浙江省杭州市余杭区余杭街道文一西路1818-1号5G创新园1-327.332.334,25 次,"2,331.94 万",10 家
浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,中标,中标结果,浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,,HSZB-2022-297,"虚拟仿真平台及应用模块建设项目,虚拟仿真实验教学平台及课程建设项目,犯罪现场勘查虚拟仿真实训项目,犯罪嫌疑人特征刻画虚拟仿真实训项目",0.0,浙江警察学院,学校,杨**-0571-87787281,浙江豪圣建设项目管理有限公司,曹**-0571-87981527,杭州鑫之烁大数据科技有限公司 ,中标人     13018931444 ,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,2022-09-15,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/361025353/b2,地址浙江省杭州市江干区丁兰街道临丁路697号5幢604室,9 次,182.79 万,5 家
关于衢州职业技术学院虚拟仿真实训基地建设项目（软件）设备1项目的中标(成交)结果公告,中标,中标结果,关于衢州职业技术学院虚拟仿真实训基地建设项目（软件）设备1项目的中标(成交)结果公告,,QZYCG2022-135,"虚拟仿真实训基地建设项目,软件设备",0.0,衢州职业技术学院,学校,"徐**-0570-8068411,蓝**-19957090305",,,天津麦安科技有限公司 ,"中标人     022-23778807 ,中标人     17182231111 ,中标人     13311049153 ,中标人     15522572287 ,于*     18920192583 ",0.0 0.0 1246800.0,2022-09-15,浙江,衢州,,,,https://www.zhiliaobiaoxun.com/content/361007315/b2,地址天津市河北区光复道街民主道米兰公寓15号院D-502,111 次,1.02 亿,39 家
关于衢州职业技术学院虚拟仿真实训基地建设项目（软件）设备1项目的中标(成交)结果公告,中标,中标结果,关于衢州职业技术学院虚拟仿真实训基地建设项目（软件）设备1项目的中标(成交)结果公告,,QZYCG2022-135,"虚拟仿真实训基地建设项目,软件设备",0.0,衢州职业技术学院,学校,"徐**-0570-8068411,蓝**-19957090305",,,慧医（天津）教育科技有限公司 ,"中标人     0222-3778807 ,中标人     022-87178609 ,中标人     022-23778807 ,中标人     13331163587 ,中标人     18622058172 ",0.0 0.0 1246800.0,2022-09-15,浙江,衢州,,,,https://www.zhiliaobiaoxun.com/content/361007315/b2,地址天津滨海高新区华苑产业区海泰华科三路1号4号楼2-202-1,41 次,"3,335.35 万",9 家
关于衢州职业技术学院虚拟仿真实训基地建设项目（软件）设备1项目的中标(成交)结果公告,中标,中标结果,关于衢州职业技术学院虚拟仿真实训基地建设项目（软件）设备1项目的中标(成交)结果公告,,QZYCG2022-135,"虚拟仿真实训基地建设项目,软件设备",0.0,衢州职业技术学院,学校,"徐**-0570-8068411,蓝**-19957090305",,,慧医谷中医药科技（天津）股份有限公司 ,,0.0 0.0 1246800.0,2022-09-15,浙江,衢州,,,,https://www.zhiliaobiaoxun.com/content/361007315/b2,地址天津华苑产业区海泰西路18号中南楼-401,4 次,0.0 万,4 家
浙江省政府采购中心关于浙江警察学院警务实战技能虚拟仿真训练平台及警指专业综合立体特种战术体系建设项目和杭州亚运会安保勤务及培训装备平台项目的中标(成交)结果公告,中标,中标结果,浙江省政府采购中心关于浙江警察学院警务实战技能虚拟仿真训练平台及警指专业综合立体特种战术体系建设项目和杭州亚运会安保勤务及培训装备平台项目的中标(成交)结果公告,,ZZCG2022D-GK-148,"警务实战技能虚拟仿真训练平台项目,安保勤务及培训装备平台项目,警指专业综合立体特种战术体系建设项目",0.0,浙江警察学院,学校,采购人-0571-87787048,浙江省政府采购中心,戴**-0571-88907768,杭州炽橙数字科技有限公司 ,,0.0 0.0 0.0 0.0 2669348.0 0.0,2022-09-15,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/361025420/b2,地址浙江省杭州市萧山区宁围街道悦盛国际中心702、703室,11 次,459.16 万,9 家
浙江省政府采购中心关于浙江警察学院警务实战技能虚拟仿真训练平台及警指专业综合立体特种战术体系建设项目和杭州亚运会安保勤务及培训装备平台项目的中标(成交)结果公告,中标,中标结果,浙江省政府采购中心关于浙江警察学院警务实战技能虚拟仿真训练平台及警指专业综合立体特种战术体系建设项目和杭州亚运会安保勤务及培训装备平台项目的中标(成交)结果公告,,ZZCG2022D-GK-148,"警务实战技能虚拟仿真训练平台项目,安保勤务及培训装备平台项目,警指专业综合立体特种战术体系建设项目",0.0,浙江警察学院,学校,采购人-0571-87787048,浙江省政府采购中心,戴**-0571-88907768,浙江路盾安防装备有限公司 ,"中标人     13606705507 ,中标人     15968808333 ",0.0 0.0 0.0 0.0 2669348.0 0.0,2022-09-15,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/361025420/b2,地址浙江省杭州市临平区东湖街道红丰路650号51幢501室,45 次,"4,542.19 万",15 家
浙江省政府采购中心关于浙江警察学院警务实战技能虚拟仿真训练平台及警指专业综合立体特种战术体系建设项目和杭州亚运会安保勤务及培训装备平台项目的中标(成交)结果公告,中标,中标结果,浙江省政府采购中心关于浙江警察学院警务实战技能虚拟仿真训练平台及警指专业综合立体特种战术体系建设项目和杭州亚运会安保勤务及培训装备平台项目的中标(成交)结果公告,,ZZCG2022D-GK-148,"警务实战技能虚拟仿真训练平台项目,安保勤务及培训装备平台项目,警指专业综合立体特种战术体系建设项目",0.0,浙江警察学院,学校,采购人-0571-87787048,浙江省政府采购中心,戴**-0571-88907768,广州钛敌科装备科技发展有限责任公司 ,中标人     13728078114 ,0.0 0.0 0.0 0.0 2669348.0 0.0,2022-09-15,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/361025420/b2,地址广州市番禺区东环街榄塘路166号101铺、201、301房,20 次,728.16 万,11 家
浙江省政府采购中心关于浙江警察学院警务实战技能虚拟仿真训练平台及警指专业综合立体特种战术体系建设项目和杭州亚运会安保勤务及培训装备平台项目的中标(成交)结果公告,中标,中标结果,浙江省政府采购中心关于浙江警察学院警务实战技能虚拟仿真训练平台及警指专业综合立体特种战术体系建设项目和杭州亚运会安保勤务及培训装备平台项目的中标(成交)结果公告,,ZZCG2022D-GK-148,"警务实战技能虚拟仿真训练平台项目,安保勤务及培训装备平台项目,警指专业综合立体特种战术体系建设项目",0.0,浙江警察学院,学校,采购人-0571-87787048,浙江省政府采购中心,戴**-0571-88907768,浙江智探安防科技有限公司 ,中标人     13396538929 ,0.0 0.0 0.0 0.0 2669348.0 0.0,2022-09-15,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/361025420/b2,地址浙江省杭州市萧山区经济技术开发区红垦农场红灿路189号25幢401室,22 次,493.96 万,10 家
浙江省政府采购中心关于浙江警察学院警务实战技能虚拟仿真训练平台及警指专业综合立体特种战术体系建设项目和杭州亚运会安保勤务及培训装备平台项目的中标(成交)结果公告,中标,中标结果,浙江省政府采购中心关于浙江警察学院警务实战技能虚拟仿真训练平台及警指专业综合立体特种战术体系建设项目和杭州亚运会安保勤务及培训装备平台项目的中标(成交)结果公告,,ZZCG2022D-GK-148,"警务实战技能虚拟仿真训练平台项目,安保勤务及培训装备平台项目,警指专业综合立体特种战术体系建设项目",0.0,浙江警察学院,学校,采购人-0571-87787048,浙江省政府采购中心,戴**-0571-88907768,浙江警星装备制造有限公司 ,"中标人     15700111594 ,中标人     15888829529 ,中标人     15158820924 ,中标人     13989895407 ",0.0 0.0 0.0 0.0 2669348.0 0.0,2022-09-15,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/361025420/b2,地址浙江省杭州市上城区馆驿后2号1205室,36 次,"1,928.69 万",15 家
浙江省政府采购中心关于浙江警察学院警务实战技能虚拟仿真训练平台及警指专业综合立体特种战术体系建设项目和杭州亚运会安保勤务及培训装备平台项目的中标(成交)结果公告,中标,中标结果,浙江省政府采购中心关于浙江警察学院警务实战技能虚拟仿真训练平台及警指专业综合立体特种战术体系建设项目和杭州亚运会安保勤务及培训装备平台项目的中标(成交)结果公告,,ZZCG2022D-GK-148,"警务实战技能虚拟仿真训练平台项目,安保勤务及培训装备平台项目,警指专业综合立体特种战术体系建设项目",0.0,浙江警察学院,学校,采购人-0571-87787048,浙江省政府采购中心,戴**-0571-88907768,广东古德莱克防护装备有限公司 ,,0.0 0.0 0.0 0.0 2669348.0 0.0,2022-09-15,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/361025420/b2,地址广东省东莞市大岭山镇大岭山振华路137号201室（集群注册）,1 次,0.0 万,1 家
浙江国际招投标有限公司关于浙江工业大学朝晖校区虚拟仿真口语跨文化实训中心建设项目的中标结果公告（非政府采购公告）,中标,中标结果,浙江国际招投标有限公司关于浙江工业大学朝晖校区虚拟仿真口语跨文化实训中心建设项目的中标结果公告（非政府采购公告）,,ZJ-2242255,虚拟仿真口语跨文化实训中心建设项目,928600.0,浙江工业大学,学校,王**-13819493620,浙江国际招投标有限公司,汪**-0571-89731843,上海左旗电子科技有限公司 ,"中标人     15001799863 ,中标人     13774358029 ,胡*     13417309934 ,范**     021-65983290 ,宋**     021-67105517 ",928600.0,2022-09-14,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/360789179/b2,地址上海市杨浦区国定路335号8005D室,212 次,1.12 亿,68 家
绍兴市鼎正建设工程咨询有限公司关于虚拟仿真服装数字实验室建设项目采购的中标(成交)结果公告,中标,中标结果,绍兴市鼎正建设工程咨询有限公司关于虚拟仿真服装数字实验室建设项目采购的中标(成交)结果公告,,绍柯采[2022]2271号,虚拟仿真服装数字实验室建设项目,0.0,绍兴市柯桥区职业教育中心,政府及事业单位,葛**-0575-85682111,绍兴市鼎正建设工程咨询有限公司,夏**-13357564468,绍兴市英领信息技术有限公司 ,"中标人     13388675708 ,中标人     0575-89101877 ",0.0 0.0 684970.0,2022-09-13,浙江,绍兴,,,,https://www.zhiliaobiaoxun.com/content/360605409/b2,地址浙江省绍兴市越城区阳明北路80号C楼三楼3-2,47 次,"1,215.25 万",20 家
绍兴市鼎正建设工程咨询有限公司关于虚拟仿真服装数字实验室建设项目采购的中标(成交)结果公告,中标,中标结果,绍兴市鼎正建设工程咨询有限公司关于虚拟仿真服装数字实验室建设项目采购的中标(成交)结果公告,,绍柯采[2022]2271号,虚拟仿真服装数字实验室建设项目,0.0,绍兴市柯桥区职业教育中心,政府及事业单位,葛**-0575-85682111,绍兴市鼎正建设工程咨询有限公司,夏**-13357564468,绍兴恒叶信息技术有限公司 ,,0.0 0.0 684970.0,2022-09-13,浙江,绍兴,,,,https://www.zhiliaobiaoxun.com/content/360605409/b2,地址浙江省绍兴市越城区滨江星城大厦1幢1908-1室（承诺申报）,16 次,222.96 万,9 家
绍兴市鼎正建设工程咨询有限公司关于虚拟仿真服装数字实验室建设项目采购的中标(成交)结果公告,中标,中标结果,绍兴市鼎正建设工程咨询有限公司关于虚拟仿真服装数字实验室建设项目采购的中标(成交)结果公告,,绍柯采[2022]2271号,虚拟仿真服装数字实验室建设项目,0.0,绍兴市柯桥区职业教育中心,政府及事业单位,葛**-0575-85682111,绍兴市鼎正建设工程咨询有限公司,夏**-13357564468,绍兴东致信息工程有限公司 ,中标人     18966097107 ,0.0 0.0 684970.0,2022-09-13,浙江,绍兴,,,,https://www.zhiliaobiaoxun.com/content/360605409/b2,地址浙江省绍兴市柯桥区漓渚镇福漓公路兰花大厦402室,49 次,"1,290.53 万",25 家
浙江省国际技术设备招标有限公司关于浙江旅游职业学院现代旅游虚拟仿真实训基地(二期)设备及软件资源建设及采购项目的中标(成交)结果公告,中标,中标结果,浙江省国际技术设备招标有限公司关于浙江旅游职业学院现代旅游虚拟仿真实训基地(二期)设备及软件资源建设及采购项目的中标(成交)结果公告,,0625-22217903,"现代旅游虚拟仿真实训基地二期设备及软件资源建设,现代旅游虚拟仿真实训基地二期设备及软件资源建设及采购",0.0,浙江旅游职业学院,学校,邵**-0571-82838178,浙江省国际技术设备招标有限公司,龚*-0571-85860839,深圳市方直科技股份有限公司 ,"中标人     0755-86336966 ,中标人     0755-86336977 ",3028000.0 0.0 0.0 0.0,2022-09-13,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/360586221/b2,地址深圳市南山区南头街道马家龙社区大新路198号创新大厦B栋901,17 次,701.06 万,13 家
浙江省国际技术设备招标有限公司关于浙江旅游职业学院现代旅游虚拟仿真实训基地(二期)设备及软件资源建设及采购项目的中标(成交)结果公告,中标,中标结果,浙江省国际技术设备招标有限公司关于浙江旅游职业学院现代旅游虚拟仿真实训基地(二期)设备及软件资源建设及采购项目的中标(成交)结果公告,,0625-22217903,"现代旅游虚拟仿真实训基地二期设备及软件资源建设,现代旅游虚拟仿真实训基地二期设备及软件资源建设及采购",0.0,浙江旅游职业学院,学校,邵**-0571-82838178,浙江省国际技术设备招标有限公司,龚*-0571-85860839,杭州露电数字科技集团有限公司 ,中标人     18905711858 ,3028000.0 0.0 0.0 0.0,2022-09-13,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/360586221/b2,地址浙江省杭州市滨江区杭州市滨江区西兴街道科技馆街626号寰宇商务中心2幢405室,24 次,880.65 万,15 家
